Date,DRUG,Qty
2018-04-01 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-04-02 00:00:00,Ampicloxa 500mg caps ord(10x10),34
2018-04-03 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-04-04 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-04-05 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-04-06 00:00:00,Ampicloxa 500mg caps ord(10x10),77
2018-04-07 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-04-08 00:00:00,Ampicloxa 500mg caps ord(10x10),21
2018-04-09 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-04-10 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-04-11 00:00:00,Ampicloxa 500mg caps ord(10x10),31
2018-04-12 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-04-13 00:00:00,Ampicloxa 500mg caps ord(10x10),29
2018-04-14 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-04-15 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-04-16 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-04-17 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-04-18 00:00:00,Ampicloxa 500mg caps ord(10x10),5
2018-04-19 00:00:00,Ampicloxa 500mg caps ord(10x10),46
2018-04-20 00:00:00,Ampicloxa 500mg caps ord(10x10),42
2018-04-21 00:00:00,Ampicloxa 500mg caps ord(10x10),23
2018-04-22 00:00:00,Ampicloxa 500mg caps ord(10x10),39
2018-04-23 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-04-24 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-04-25 00:00:00,Ampicloxa 500mg caps ord(10x10),27
2018-04-26 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-04-27 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-04-28 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-04-29 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-04-30 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-05-01 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-05-02 00:00:00,Ampicloxa 500mg caps ord(10x10),85
2018-05-03 00:00:00,Ampicloxa 500mg caps ord(10x10),12
2018-05-04 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-05-05 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-05-06 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-05-07 00:00:00,Ampicloxa 500mg caps ord(10x10),42
2018-05-08 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-05-09 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-05-10 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-05-11 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-05-12 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-05-13 00:00:00,Ampicloxa 500mg caps ord(10x10),47
2018-05-14 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-05-15 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-05-16 00:00:00,Ampicloxa 500mg caps ord(10x10),34
2018-05-18 00:00:00,Ampicloxa 500mg caps ord(10x10),39
2018-05-19 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-05-20 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-05-21 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-05-22 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-05-23 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-05-24 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-05-25 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-05-26 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-05-27 00:00:00,Ampicloxa 500mg caps ord(10x10),95
2018-05-28 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-05-29 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-05-30 00:00:00,Ampicloxa 500mg caps ord(10x10),57
2018-05-31 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-06-01 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-06-02 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-06-03 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-06-04 00:00:00,Ampicloxa 500mg caps ord(10x10),58
2018-06-05 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-06-06 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-06-07 00:00:00,Ampicloxa 500mg caps ord(10x10),64
2018-06-08 00:00:00,Ampicloxa 500mg caps ord(10x10),61
2018-06-09 00:00:00,Ampicloxa 500mg caps ord(10x10),62
2018-06-10 00:00:00,Ampicloxa 500mg caps ord(10x10),59
2018-06-11 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-06-12 00:00:00,Ampicloxa 500mg caps ord(10x10),29
2018-06-13 00:00:00,Ampicloxa 500mg caps ord(10x10),66
2018-06-14 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-06-15 00:00:00,Ampicloxa 500mg caps ord(10x10),22
2018-06-16 00:00:00,Ampicloxa 500mg caps ord(10x10),7
